Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,parle,speak
29,29,compris,understood
30,30,savais,knew
31,31,étaient,were
32,32,attention,Warning
33,33,voici,here is
34,34,pourrais,could
35,35,affaire,case
36,36,donner,give
37,37,type,type
38,38,leurs,their
39,39,donné,given
40,40,train,train
41,41,corps,body
42,42,endroit,place
43,43,yeux,eyes
44,44,façon,way
45,45,écoute,listen
46,46,dont,whose
47,47,trouve,find
48,48,premier,first
49,50,main,hand
50,51,première,first
51,52,côté,side
52,54,vieux,old
53,55,sois,be
54,56,tiens,here
55,57,matin,morning
56,58,tellement,so much
57,59,enfant,child
58,60,point,point
59,61,venu,came
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,vers,towards
66,68,demandé,request
67,69,chambre,bedroom
68,70,mis,placed
69,71,belle,beautiful
70,72,droit,law
71,73,aimerais,would like to
72,74,aujourd'hui,today
73,75,cause,cause
74,76,enfin,finally
75,78,eau,water
76,79,attendez,Wait
77,80,parti,left
78,81,nouvelle,new
79,82,boulot,job
80,83,arrêter,Stop
81,84,dirait,would say
82,85,terre,Earth
83,86,compte,account
84,87,donne,given
85,88,loin,far
86,89,fin,end
87,90,croire,believe
88,91,chérie,sweetheart
89,92,gros,large
90,93,plutôt,rather
91,94,aura,will have
92,95,filles,girls
93,96,jouer,to play
94,97,bureau,office
